"","IDEN3","SERIE","CANSIS","GROUPE","PARCELLE","COMTE","Culture_1","COMMENTA","Duree_1","Duree_1b","Culture_2","Duree_2","Culture_3","Duree_3","Duree_rotation","Dist_Site","Nbre_site","xcoord","ycoord"
"624","PTC049","PONTIAC","PTC",1,"049","PONTIAC","1-prairie",NA,5,NA,NA,NA,NA,NA,NA,219,7,-8527369.469,5716077.537
"625","PTC050","PONTIAC","PTC",1,"050","PONTIAC","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,124,7,-8099179.609,5713981.489
"626","PTG034","PONT-ROUGE","PTG",2,"034","PORTNEUF","4-pommes de terre",NA,2,NA,"céréales",1,NA,NA,NA,411,7,-7975268.651,5916110.176
"627","PTG035","PONT-ROUGE","PTG",2,"035","PORTNEUF","1-prairie","Labour au 6 ans",20,NA,NA,NA,NA,NA,NA,759,7,-7976999.245,5914405.501
"628","PTG036","PONT-ROUGE","PTG",2,"036","PORTNEUF","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,699,7,-7977210.062,5914265.423
"629","PTG039","PONT-ROUGE","PTG",2,"039","PORTNEUF","4-pommes de terre",NA,2,NA,"céréales",1,NA,NA,NA,40,7,-7983026.536,5905233.315
"630","PTG040","PONT-ROUGE","PTG",2,"040","PORTNEUF","5-maïs-ensilage",NA,3,NA,NA,NA,NA,NA,NA,143,7,-7983570.54,5905995.024
"631","PTG041","PONT-ROUGE","PTG",2,"041","PORTNEUF","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,164,7,-7983099.4,5905492.499
"632","PTG083","PONT-ROUGE","PTG",2,"083","PORTNEUF","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,94,7,-7974177.431,5913283.579
"633","PTG084","PONT-ROUGE","PTG",2,"084","PORTNEUF","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,69,7,-7974222.484,5913382.4
"634","PVD010","PROVIDENCE","PVD",1,"010","VERCHERES","3-maïs-grain",NA,8,"8-9 ans",NA,NA,NA,NA,NA,133,7,-8148755.146,5752292.986
"635","PVD015","PROVIDENCE","PVD",1,"015","VERCHERES","1-prairie",NA,9,"8-10 ans",NA,NA,NA,NA,NA,5885,7,-8147795.502,5753302.429
"636","PVD017","PROVIDENCE","PVD",1,"017","RICHELIEU","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,102,7,-8141946.793,5759038.485
"637","PVD018","PROVIDENCE","PVD",1,"018","RICHELIEU","1-prairie",NA,4,NA,"céréales",NA,NA,NA,NA,161,7,-8141678.498,5757798.957
"638","PVD042","PROVIDENCE","PVD",1,"042","CHAMBLY","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,28,7,-8158647.559,5700732.335
"639","PVD043","PROVIDENCE","PVD",1,"043","CHAMBLY","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,49,7,-8159002.583,5699968.316
"640","RBC001","RUBICON","RBC",2,"001","SHEFFORD","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","RBC002","RUBICON","RBC",2,"002","SHEFFORD","2-céréales",NA,10,NA,NA,NA,NA,NA,NA,457,7,-8111984.705,5666216.298
"642","RBC007","RUBICON","RBC",2,"007","SHEFFORD","1-prairie",NA,3,NA,NA,NA,NA,NA,NA,782,7,-8104258.745,5673878.542
"643","RBC008","RUBICON","RBC",2,"008","SHEFFORD","3-maïs-grain",NA,5,NA,NA,NA,NA,NA,NA,678,7,-8103684.351,5673821.559
"644","RBC009","RUBICON","RBC",2,"009","SHEFFORD","1-prairie",NA,8,NA,NA,NA,NA,NA,NA,686,7,-8106610.141,5677757.493
"645","RBC023","RUBICON","RBC",2,"023","SHEFFORD","2-céréales",NA,8,NA,NA,NA,NA,NA,NA,794,7,-8063028.403,5697392.206
"646","RCI004","RACINE","RCI",3,"004","SHEFFORD","5-maïs-ensilage",NA,5,NA,NA,NA,NA,NA,NA,587,7,-8063887.178,5695805.689
"647","RCI012","RACINE","RCI",3,"012","SHEFFORD","3-maïs-grain",NA,5,NA,NA,NA,NA,NA,NA,990,7,-8073386.924,5689450.239
"648","RCI013","RACINE","RCI",3,"013","SHEFFORD","1-prairie",NA,8,NA,NA,NA,NA,NA,NA,427,7,-8073279.379,5689744.838
"649","RCI017","RACINE","RCI",3,"017","SHEFFORD","6-autres","sorgho",1,NA,"céréales",NA,NA,NA,NA,619,7,-8064422.232,5702765.44
"650","RCI018","RACINE","RCI",3,"018","SHEFFORD","1-prairie",NA,8,NA,NA,NA,NA,NA,NA,702,7,-8064930.353,5703094.962
"651","RCI024","RACINE","RCI",3,"024","SHEFFORD","2-céréales",NA,8,NA,NA,NA,NA,NA,NA,500,7,-8061984.505,5697393.969
"652","RCI028","RACINE","RCI",3,"028","SHEFFORD","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,516,7,-8069759.798,5704005.994
"653","RCI029","RACINE","RCI",3,"029","SHEFFORD","6-autres","pommiers",NA,NA,NA,NA,NA,NA,NA,493,7,-8102455.906,5692111.706
"654","RDU015","RIDEAU","RDU",1,"015","ARGENTEUIL","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,157,7,-8284167.84,5723174.677
"655","RDU016","RIDEAU","RDU",1,"016","ARGENTEUIL","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,116,7,-8284021.723,5722845.308
"656","RDU017","RIDEAU","RDU",1,"017","ARGENTEUIL","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,70,7,-8285066.527,5723518.798
